Область,Регион,Город,Гор.район,Квартал,Улица,Дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Новозаводская улиц.,45А д.
Самарская обл.,Ставропольский р-н,с.Тимофеевка,,,Обводная дорога,3 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,улица Цветная,22 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Мичурина,128 д.
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Солнечная улиц.,96 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Блюхера улиц.,здание 10
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,СКП АО "АВТОВАЗ",КОР. 01/26 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Новозаводская улиц.,8Е дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Центральная пл.,Д.1
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Ясный пер.,4 д.
Самарская обл.,Волжский р-н,с.Мастрюково,,,Подгорная,5А дом
Самарская обл.,Волжский р-н,с.Мастрюково,,,Подгорная,20 д.
Самарская обл.,Волжский р-н,с.Мастрюково,,,Береговая ул.,15 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Коммунистическая,здание 43
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Заставная,33 д.
Самарская обл.,Ставропольский р-н,с.Тимофеевка,,,Строителей ул.,Д.91
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Набережная ул.,131 дом
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Тольяттинская ул.,4 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Тенистая ул.,15
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,улица Дзержинского,88 дом
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Подборненская ул.,26 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Бородинский проезд,36 д.
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,Восточный проезд,26 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Новозаводская улиц.,47 д.
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Никонова ул,Д.26
Самарская обл.,Ставропольский р-н,с.Тимофеевка,,,Мира улиц.,2Б д.
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Комсомольская ул.,Д.2Б
Самарская обл.,Ставропольский р-н,с.Подстепки,,,Ул.Кооперативная,Д.21
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Офицерская ул.,3 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,,Северная ул.,99 д.
Самарская обл.,,г.Тольятти,микро район Комсомольский,,улица Магистральная,здание 7
Самарская обл.,,г.Тольятти,Потрпоселок гор.р-н,,улица Комзина,здание 6А
Самарская обл.,,г. Самара,Октябрьский р-н,,улица Осипенко,18 д.
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,Октябрьская улиц.,30 дом
Самарская обл.,Ставропольский р-н,ПСК Ягодное,,,улица Журавлиная,36 дом
Самарская обл.,,г.Тольятти,Автозаводский микрор-н,8 КВ-Л,улица Спортивная,16 дом
Самарская обл.,,г.Тольятти,Центральный р-н мик.,,улица Лесная,Д.13А
Самарская обл.,Ставропольский р-н,с.Васильевка,,,Клубная ул.,19 дом
